model_id,cell,n_rows,sensitivity,specificity,fp_rate
claude-haiku-4-5-20251001,csgo,800,1.0,0.0,1.0
claude-haiku-4-5-20251001,nba,800,0.9775,0.0,1.0
claude-haiku-4-5-20251001,poker,800,0.9912,0.0,1.0
claude-haiku-4-5-20251001,pubg,800,0.7388,0.0275,0.9725
claude-haiku-4-5-20251001,rocket_league,800,0.9988,0.0,1.0
claude-sonnet-4-5,csgo,800,1.0,0.0013,0.9987
claude-sonnet-4-5,nba,800,1.0,0.0,1.0
claude-sonnet-4-5,poker,800,1.0,0.0,1.0
claude-sonnet-4-5,pubg,800,1.0,0.0,1.0
claude-sonnet-4-5,rocket_league,800,1.0,0.0,1.0
claude-sonnet-4-6,csgo,800,0.97,0.0938,0.9062
claude-sonnet-4-6,nba,800,0.6266,0.1992,0.8008
claude-sonnet-4-6,poker,800,0.6063,0.3518,0.6482
claude-sonnet-4-6,pubg,800,0.6963,0.49,0.51
claude-sonnet-4-6,rocket_league,800,0.6025,0.5587,0.4412
deepseek-v4-flash,csgo,800,0.985,0.0312,0.9688
deepseek-v4-flash,nba,800,0.845,0.0912,0.9087
deepseek-v4-flash,poker,800,0.9038,0.0737,0.9263
deepseek-v4-flash,pubg,800,0.9563,0.0338,0.9663
deepseek-v4-flash,rocket_league,800,0.9487,0.0413,0.9587
deepseek-v4-pro,csgo,800,0.9821,0.0382,0.9618
deepseek-v4-pro,nba,800,0.958,0.074,0.926
deepseek-v4-pro,poker,800,0.8584,0.197,0.803
deepseek-v4-pro,pubg,800,0.8553,0.1065,0.8935
deepseek-v4-pro,rocket_league,800,0.8536,0.0946,0.9054
gemini-2.5-flash,csgo,600,0.4044,0.6003,0.3997
gemini-2.5-flash,nba,700,0.6552,0.3099,0.6901
gemini-2.5-flash,poker,800,0.7795,0.1326,0.8674
gemini-2.5-flash,pubg,600,0.5267,0.3155,0.6845
gemini-2.5-flash,rocket_league,700,0.5014,0.2131,0.7869
gemini-3-flash-preview,csgo,800,0.5116,0.491,0.509
gemini-3-flash-preview,nba,800,0.5026,0.496,0.504
gemini-3-flash-preview,poker,800,0.5058,0.473,0.527
gemini-3-flash-preview,pubg,400,0.5051,0.4974,0.5026
gemini-3-flash-preview,rocket_league,700,0.5802,0.4494,0.5506
gemini-3.1-flash-lite-preview,csgo,800,0.5713,0.48,0.52
gemini-3.1-flash-lite-preview,nba,800,0.5763,0.3237,0.6763
gemini-3.1-flash-lite-preview,poker,800,0.535,0.4113,0.5887
gemini-3.1-flash-lite-preview,pubg,800,0.5,0.4637,0.5363
gemini-3.1-flash-lite-preview,rocket_league,800,0.5075,0.3675,0.6325
gemini-3.1-pro-preview,csgo,800,0.5012,0.4894,0.5106
gemini-3.1-pro-preview,nba,800,0.5075,0.4355,0.5645
gemini-3.1-pro-preview,poker,800,0.5,0.4838,0.5162
gemini-3.1-pro-preview,pubg,800,0.5038,0.3125,0.6875
gemini-3.1-pro-preview,rocket_league,800,0.4623,0.4837,0.5163
gpt-5,csgo,400,0.6875,0.295,0.705
gpt-5,nba,300,0.67,0.1567,0.8433
gpt-5,poker,600,0.5183,0.2367,0.7633
gpt-5,pubg,500,0.434,0.154,0.846
gpt-5,rocket_league,600,0.8617,0.22,0.78
gpt-5-mini,csgo,800,0.6112,0.37,0.63
gpt-5-mini,nba,800,0.53,0.2762,0.7238
gpt-5-mini,poker,800,0.5225,0.48,0.52
gpt-5-mini,pubg,800,0.6637,0.4363,0.5637
gpt-5-mini,rocket_league,800,0.7238,0.1537,0.8462
gpt-5.4-mini,csgo,400,0.9975,0.02,0.98
gpt-5.4-mini,nba,700,0.9986,0.1529,0.8471
gpt-5.4-mini,poker,600,0.9817,0.0267,0.9733
gpt-5.4-mini,pubg,800,0.9487,0.1963,0.8037
gpt-5.4-mini,rocket_league,600,0.8767,0.1583,0.8417
kimi-k2.6,csgo,612,0.9869,0.0359,0.9641
kimi-k2.6,nba,498,0.99,0.0201,0.9799
kimi-k2.6,poker,696,0.9986,0.023,0.977
kimi-k2.6,pubg,496,0.8871,0.4315,0.5685
